# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ABD1	YBR236C	YBR236C_mRNA	protein_coding	0	3	3	66	0	0	0	0	27	0	0	0	3	0	0	0	0	0	0	0	3	39
ABF1	YKL112W	YKL112W_mRNA	protein_coding	0	13	5	58	0	0	0	0	32	0	0	0	5	0	0	0	0	0	0	0	13	26
ABF2	YMR072W	YMR072W_mRNA	protein_coding	0	0	0	21	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	14
ABM1	YJR108W	YJR108W_mRNA	protein_coding	1	2	2	57	0	0	0	0	24	0	0	0	2	0	0	1	0	0	1	0	2	33
ABP1	YCR088W	YCR088W_mRNA	protein_coding	0	3	5	24	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	3	23
ABP140	YOR239W	YOR239W_mRNA	protein_coding	0	0	3	17	0	0	0	0	7	0	0	0	3	0	0	0	0	0	0	0	0	10
ABZ1	YNR033W	YNR033W_mRNA	protein_coding	0	5	5	19	0	0	0	0	15	0	0	0	5	0	0	0	0	0	0	0	5	4
ABZ2	YMR289W	YMR289W_mRNA	protein_coding	0	3	3	47	0	0	0	0	18	0	0	0	3	0	0	0	0	0	0	0	3	29
ACA1	YER045C	YER045C_mRNA	protein_coding	0	8	9	59	0	0	0	0	12	0	0	0	9	0	0	0	0	0	0	0	8	47
ACB1	YGR037C	YGR037C_mRNA	protein_coding	0	0	0	34	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	12
ACC1	YNR016C	YNR016C_mRNA	protein_coding	0	10	1	12	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	10	5
ACE2	YLR131C	YLR131C_mRNA	protein_coding	0	1	0	8	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	5
ACF2	YLR144C	YLR144C_mRNA	protein_coding	0	1	3	5	0	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	1	1
ACF4	YJR083C	YJR083C_mRNA	protein_coding	0	3	4	71	0	0	0	0	33	0	0	0	4	0	0	0	0	0	0	0	3	38
ACH1	YBL015W	YBL015W_mRNA	protein_coding	0	5	0	82	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	5	40
ACK1	YDL203C	YDL203C_mRNA	protein_coding	0	15	6	60	0	0	0	0	24	0	0	0	6	0	0	0	0	0	0	0	15	36
ACL4	YDR161W	YDR161W_mRNA	protein_coding	0	0	0	8	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	3
ACM1	YPL267W	YPL267W_mRNA	protein_coding	0	0	1	9	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	3
ACO1	YLR304C	YLR304C_mRNA	protein_coding	0	6	0	35	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	6	24
ACO2	YJL200C	YJL200C_mRNA	protein_coding	0	9	4	74	0	0	0	0	30	0	0	0	4	0	0	0	0	0	0	0	9	44
ACP1	YKL192C	YKL192C_mRNA	protein_coding	0	1	1	77	0	0	0	0	21	0	0	0	1	0	0	0	0	0	0	0	1	56
ACS1	YAL054C	YAL054C_mRNA	protein_coding	0	9	2	84	0	0	0	0	51	0	0	0	2	0	0	0	0	0	0	0	9	33
ACS2	YLR153C	YLR153C_mRNA	protein_coding	0	1	2	25	0	0	0	0	19	0	0	0	2	0	0	0	0	0	0	0	1	6
ACT1	YFL039C	YFL039C_mRNA	protein_coding	0	1	0	67	0	0	0	0	38	0	0	4	0	0	0	0	0	0	0	0	1	25
ADA2	YDR448W	YDR448W_mRNA	protein_coding	0	1	0	10	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	4
ADD37	YMR184W	YMR184W_mRNA	protein_coding	0	0	3	12	0	0	0	0	9	0	0	0	3	0	0	0	0	0	0	0	0	3
ADD66	YKL206C	YKL206C_mRNA	protein_coding	0	0	0	67	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	16
ADE1	YAR015W	YAR015W_mRNA	protein_coding	0	8	0	29	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	8	12
ADE12	YNL220W	YNL220W_mRNA	protein_coding	0	4	2	17	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	4	12
ADE13	YLR359W	YLR359W_mRNA	protein_coding	0	4	0	60	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	4	30
ADE16	YLR028C	YLR028C_mRNA	protein_coding	0	2	1	15	0	0	0	0	13	0	0	0	1	0	0	0	0	0	0	0	2	2
ADE17	YMR120C	YMR120C_mRNA	protein_coding	0	6	0	110	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	6	64
ADE2	YOR128C	YOR128C_mRNA	protein_coding	0	4	1	59	0	0	0	0	33	0	0	0	1	0	0	0	0	0	0	0	4	26
ADE3	YGR204W	YGR204W_mRNA	protein_coding	0	13	3	57	0	0	0	0	39	0	0	0	3	0	0	0	0	0	0	0	13	18
ADE4	YMR300C	YMR300C_mRNA	protein_coding	0	0	0	43	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	29
ADE5,7	YGL234W	YGL234W_mRNA	protein_coding	0	0	0	41	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	39
ADE6	YGR061C	YGR061C_mRNA	protein_coding	0	2	0	15	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	2	8
ADE8	YDR408C	YDR408C_mRNA	protein_coding	0	0	0	11	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	4
ADF1	YCL058W-A	YCL058W-A_mRNA	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1
ADH1	YOL086C	YOL086C_mRNA	protein_coding	0	2	1	89	0	0	0	0	38	0	0	0	1	0	0	0	0	0	0	0	2	51
ADH2	YMR303C	YMR303C_mRNA	protein_coding	0	4	3	47	0	0	0	0	40	0	0	0	3	0	0	0	0	0	0	0	4	7
ADH3	YMR083W	YMR083W_mRNA	protein_coding	0	0	0	48	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	9
ADH4	YGL256W	YGL256W_mRNA	protein_coding	0	14	6	157	0	0	0	0	88	0	0	0	6	0	0	0	0	0	0	0	14	69
ADH5	YBR145W	YBR145W_mRNA	protein_coding	0	3	0	108	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	3	55
ADH6	YMR318C	YMR318C_mRNA	protein_coding	0	3	0	73	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	3	21
ADH7	YCR105W	YCR105W_mRNA	protein_coding	0	0	0	21	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	14
ADI1	YMR009W	YMR009W_mRNA	protein_coding	0	2	0	32	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	2	22
ADK1	YDR226W	YDR226W_mRNA	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2
ADK2	YER170W	YER170W_mRNA	protein_coding	1	0	4	46	0	0	0	0	14	1	0	0	4	0	0	0	0	0	0	0	0	32
ADO1	YJR105W	YJR105W_mRNA	protein_coding	0	2	0	75	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	2	30
ADP1	YCR011C	YCR011C_mRNA	protein_coding	0	2	2	13	0	0	0	0	10	0	0	0	2	0	0	0	0	0	0	0	2	3
ADR1	YDR216W	YDR216W_mRNA	protein_coding	0	1	2	10	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	1	6
ADY2	YCR010C	YCR010C_mRNA	protein_coding	0	0	0	17	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	7
ADY3	YDL239C	YDL239C_mRNA	protein_coding	0	1	3	8	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	1	5
ADY4	YLR227C	YLR227C_mRNA	protein_coding	0	2	3	8	0	0	0	0	5	0	0	0	3	0	0	0	0	0	0	0	2	3
AEP1	YMR064W	YMR064W_mRNA	protein_coding	0	9	10	52	0	0	0	0	22	0	0	0	10	0	0	0	0	0	0	0	9	30
AEP2	YMR282C	YMR282C_mRNA	protein_coding	0	0	2	17	0	0	0	0	11	0	0	0	2	0	0	0	0	0	0	0	0	6
AEP3	YPL005W	YPL005W_mRNA	protein_coding	0	4	2	13	0	0	0	0	7	0	0	0	2	0	0	0	0	0	0	0	4	6
AFB1	YLR040C	YLR040C_mRNA	protein_coding	0	1	0	14	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	10
AFG1	YEL052W	YEL052W_mRNA	protein_coding	0	6	5	38	0	0	0	0	17	0	0	0	5	0	0	0	0	0	0	0	6	21
AFG2	YLR397C	YLR397C_mRNA	protein_coding	0	13	2	48	0	0	0	0	21	0	0	0	2	0	0	0	0	0	0	0	13	27
AFG3	YER017C	YER017C_mRNA	protein_coding	0	7	1	49	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	7	44
AFI1	YOR129C	YOR129C_mRNA	protein_coding	0	4	6	66	0	0	0	0	35	0	0	0	6	0	0	0	0	0	0	0	4	31
AFR1	YDR085C	YDR085C_mRNA	protein_coding	0	1	2	21	0	0	0	0	8	0	0	0	2	0	0	0	0	0	0	0	1	13
AFT1	YGL071W	YGL071W_mRNA	protein_coding	0	0	8	26	0	0	0	0	11	0	0	0	8	0	0	0	0	0	0	0	0	15
AFT2	YPL202C	YPL202C_mRNA	protein_coding	0	0	0	18	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	13
AGA1	YNR044W	YNR044W_mRNA	protein_coding	0	8	14	31	0	0	0	0	16	0	0	0	14	0	0	0	0	0	0	0	8	15
AGA2	YGL032C	YGL032C_mRNA	protein_coding	0	0	0	25	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	3
AGC1	YPR021C	YPR021C_mRNA	protein_coding	0	1	2	22	0	0	0	0	7	0	0	0	2	0	0	0	0	0	0	0	1	15
AGE1	YDR524C	YDR524C_mRNA	protein_coding	0	9	3	82	0	0	0	0	30	0	0	0	3	0	0	0	0	0	0	0	9	52
AGE2	YIL044C	YIL044C_mRNA	protein_coding	0	4	3	69	0	0	0	0	39	0	0	0	3	0	0	0	0	0	0	0	4	30
AGP1	YCL025C	YCL025C_mRNA	protein_coding	0	2	2	37	0	0	0	0	22	0	0	0	2	0	0	0	0	0	0	0	2	15
AGP2	YBR132C	YBR132C_mRNA	protein_coding	0	9	3	55	0	0	0	0	28	0	0	0	3	0	0	0	0	0	0	0	9	27
AGP3	YFL055W	YFL055W_mRNA	protein_coding	1	10	7	69	0	0	0	0	65	0	0	0	7	0	0	0	0	1	0	0	10	4
AGX1	YFL030W	YFL030W_mRNA	protein_coding	0	8	0	76	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	8	38
AHA1	YDR214W	YDR214W_mRNA	protein_coding	0	0	2	8	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	3
AHC1	YOR023C	YOR023C_mRNA	protein_coding	0	8	3	96	0	0	0	0	40	0	0	0	3	0	0	0	0	0	0	0	8	56
AHC2	YCR082W	YCR082W_mRNA	protein_coding	0	1	0	56	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	1	33
AHK1	YDL073W	YDL073W_mRNA	protein_coding	0	2	6	7	0	0	0	0	2	0	0	0	6	0	0	0	0	0	0	0	2	5
AHP1	YLR109W	YLR109W_mRNA	protein_coding	0	0	0	26	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	8
AHT1	YHR093W	YHR093W_mRNA	protein_coding	1	0	0	10	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	5
AIF1	YNR074C	YNR074C_mRNA	protein_coding	0	0	1	17	0	0	0	0	11	0	0	0	1	0	0	0	0	0	0	0	0	6
AIM10	YER087W	YER087W_mRNA	protein_coding	0	1	3	34	0	0	0	0	29	0	0	0	3	0	0	0	0	0	0	0	1	5
AIM11	YER093C-A	YER093C-A_mRNA	protein_coding	0	0	0	11	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	8
AIM14	YGL160W	YGL160W_mRNA	protein_coding	0	2	4	61	0	0	0	0	31	0	0	0	4	0	0	0	0	0	0	0	2	30
AIM17	YHL021C	YHL021C_mRNA	protein_coding	0	5	2	61	0	0	0	0	36	0	0	0	2	0	0	0	0	0	0	0	5	25
AIM18	YHR198C	YHR198C_mRNA	protein_coding	0	0	0	7	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	5
AIM19	YIL087C	YIL087C_mRNA	protein_coding	0	0	0	90	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	39
AIM2	YAL049C	YAL049C_mRNA	protein_coding	0	2	2	90	0	0	0	0	37	0	0	0	2	0	0	0	0	0	0	0	2	53
AIM20	YIL158W	YIL158W_mRNA	protein_coding	0	1	3	61	0	0	0	0	24	0	0	0	3	0	0	0	0	0	0	0	1	37
AIM21	YIR003W	YIR003W_mRNA	protein_coding	0	1	3	10	0	0	0	0	8	0	0	0	3	0	0	0	0	0	0	0	1	2
AIM22	YJL046W	YJL046W_mRNA	protein_coding	0	4	2	57	0	0	0	0	26	0	0	0	2	0	0	0	0	0	0	0	4	31
AIM23	YJL131C	YJL131C_mRNA	protein_coding	0	1	2	55	0	0	0	0	43	0	0	0	2	0	0	0	0	0	0	0	1	12
AIM24	YJR080C	YJR080C_mRNA	protein_coding	0	7	0	64	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	7	42
AIM25	YJR100C	YJR100C_mRNA	protein_coding	0	0	0	26	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	20
AIM26	YKL037W	YKL037W_mRNA	protein_coding	0	0	0	19	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	3
AIM29	YKR074W	YKR074W_mRNA	protein_coding	0	2	1	46	0	0	0	0	10	0	0	0	1	0	0	0	0	0	0	0	2	36
AIM3	YBR108W	YBR108W_mRNA	protein_coding	0	9	7	73	0	0	0	0	40	0	0	0	7	0	0	0	0	0	0	0	9	33
AIM32	YML050W	YML050W_mRNA	protein_coding	0	0	1	19	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	19
AIM33	YML087C	YML087C_mRNA	protein_coding	0	5	1	59	0	0	0	0	30	0	0	0	1	0	0	0	0	0	0	0	5	29
AIM34	YMR003W	YMR003W_mRNA	protein_coding	0	4	2	63	0	0	0	0	39	0	0	0	2	0	0	0	0	0	0	0	4	24
AIM36	YMR157C	YMR157C_mRNA	protein_coding	0	2	1	61	0	0	0	0	32	0	0	0	1	0	0	0	0	0	0	0	2	29
AIM39	YOL053W	YOL053W_mRNA	protein_coding	0	0	2	22	0	0	0	0	14	0	0	0	2	0	0	0	0	0	0	0	0	8
AIM4	YBR194W	YBR194W_mRNA	protein_coding	0	3	1	71	0	0	0	0	37	0	0	0	1	0	0	0	0	0	0	0	3	34
AIM41	YOR215C	YOR215C_mRNA	protein_coding	0	0	0	9	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7
AIM44	YPL158C	YPL158C_mRNA	protein_coding	0	2	7	19	0	0	0	0	4	0	0	0	7	0	0	0	0	0	0	0	2	15
AIM45	YPR004C	YPR004C_mRNA	protein_coding	0	2	0	11	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	6
AIM46	YHR199C	YHR199C_mRNA	protein_coding	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5
AIM6	YDL237W	YDL237W_mRNA	protein_coding	0	0	2	11	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	6
AIM7	YDR063W	YDR063W_mRNA	protein_coding	0	2	1	60	0	0	0	0	46	0	0	0	1	0	0	0	0	0	0	0	2	14
AIM9	YER080W	YER080W_mRNA	protein_coding	0	2	2	2	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	2	1
AIP1	YMR092C	YMR092C_mRNA	protein_coding	0	5	3	64	0	0	0	0	54	0	0	0	3	0	0	0	0	0	0	0	5	10
AIR1	YIL079C	YIL079C_mRNA	protein_coding	0	3	3	23	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	23
AIR2	YDL175C	YDL175C_mRNA	protein_coding	0	1	0	52	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	1	31
AKL1	YBR059C	YBR059C_mRNA	protein_coding	0	7	3	53	0	0	0	0	6	0	0	0	3	0	0	0	0	0	0	0	7	47
AKR1	YDR264C	YDR264C_mRNA	protein_coding	0	1	1	4	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	3
AKR2	YOR034C	YOR034C_mRNA	protein_coding	1	4	6	48	0	0	0	0	42	0	0	0	6	0	0	0	1	0	0	0	4	6
ALA1	YOR335C	YOR335C_mRNA	protein_coding	0	3	1	15	0	0	0	0	12	0	0	0	1	0	0	0	0	0	0	0	3	3
ALB1	YJL122W	YJL122W_mRNA	protein_coding	0	0	2	44	0	0	0	0	19	0	0	0	2	0	0	0	0	0	0	0	0	25
ALD2	YMR170C	YMR170C_mRNA	protein_coding	0	2	1	29	0	0	0	0	20	0	0	0	1	0	0	0	0	0	0	0	2	9
ALD3	YMR169C	YMR169C_mRNA	protein_coding	0	6	3	25	0	0	0	0	12	0	0	0	3	0	0	0	0	0	0	0	6	13
ALD4	YOR374W	YOR374W_mRNA	protein_coding	0	0	0	13	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	9
ALD5	YER073W	YER073W_mRNA	protein_coding	0	0	0	7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	4
ALD6	YPL061W	YPL061W_mRNA	protein_coding	0	3	1	50	0	0	0	0	16	0	0	0	1	0	0	0	0	0	0	0	3	34
ALE1	YOR175C	YOR175C_mRNA	protein_coding	0	3	0	13	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	3	5
ALF1	YNL148C	YNL148C_mRNA	protein_coding	0	1	0	10	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	1	3
ALG1	YBR110W	YBR110W_mRNA	protein_coding	0	5	2	82	0	0	0	0	43	0	0	0	2	0	0	0	0	0	0	0	5	39
ALG11	YNL048W	YNL048W_mRNA	protein_coding	0	3	1	42	0	0	0	0	33	0	0	0	1	0	0	0	0	0	0	0	3	9
ALG12	YNR030W	YNR030W_mRNA	protein_coding	0	1	0	27	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	23
ALG13	YGL047W	YGL047W_mRNA	protein_coding	0	0	1	53	0	0	0	0	34	0	0	0	1	0	0	0	0	0	0	0	0	19
ALG14	YBR070C	YBR070C_mRNA	protein_coding	0	3	2	55	0	0	0	0	23	0	0	0	2	0	0	0	0	0	0	0	3	32
ALG2	YGL065C	YGL065C_mRNA	protein_coding	0	0	3	14	0	0	0	0	9	0	0	0	3	0	0	0	0	0	0	0	0	5
ALG3	YBL082C	YBL082C_mRNA	protein_coding	0	1	0	28	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	25
ALG5	YPL227C	YPL227C_mRNA	protein_coding	0	5	2	72	0	0	0	0	33	0	0	0	2	0	0	0	0	0	0	0	5	39
ALG6	YOR002W	YOR002W_mRNA	protein_coding	0	3	3	10	0	0	0	0	7	0	0	0	3	0	0	0	0	0	0	0	3	3
ALG7	YBR243C	YBR243C_mRNA	protein_coding	0	0	0	9	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	4
ALG8	YOR067C	YOR067C_mRNA	protein_coding	0	7	2	51	0	0	0	0	31	0	0	0	2	0	0	0	0	0	0	0	7	20
ALG9	YNL219C	YNL219C_mRNA	protein_coding	0	0	2	20	0	0	0	0	15	0	0	0	2	0	0	0	0	0	0	0	0	5
ALK1	YGL021W	YGL021W_mRNA	protein_coding	0	7	3	36	0	0	0	0	24	0	0	0	3	0	0	0	0	0	0	0	7	12
ALK2	YBL009W	YBL009W_mRNA	protein_coding	0	11	6	52	0	0	0	0	24	0	0	0	6	0	0	0	0	0	0	0	11	28
ALO1	YML086C	YML086C_mRNA	protein_coding	0	5	0	66	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	5	32
ALP1	YNL270C	YNL270C_mRNA	protein_coding	0	0	1	7	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	6
ALR1	YOL130W	YOL130W_mRNA	protein_coding	0	5	2	65	0	0	0	0	27	0	0	0	2	0	0	0	0	0	0	0	5	38
ALR2	YFL050C	YFL050C_mRNA	protein_coding	0	14	19	113	0	0	0	0	62	0	0	0	19	0	0	0	0	0	0	0	14	51
ALT1	YLR089C	YLR089C_mRNA	protein_coding	0	7	0	54	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	7	30
ALT2	YDR111C	YDR111C_mRNA	protein_coding	0	0	1	14	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	11
ALY1	YKR021W	YKR021W_mRNA	protein_coding	0	3	2	19	0	0	0	0	7	0	0	0	2	0	0	0	0	0	0	0	3	12
ALY2	YJL084C	YJL084C_mRNA	protein_coding	0	1	4	11	0	0	0	0	3	0	0	0	4	0	0	0	0	0	0	0	1	8
AMA1	YGR225W	YGR225W_mRNA	protein_coding	0	5	3	44	0	0	0	0	27	0	0	3	3	0	0	0	0	0	0	0	5	14
AMD1	YML035C	YML035C_mRNA	protein_coding	0	1	0	17	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1	8
AMD2	YDR242W	YDR242W_mRNA	protein_coding	0	0	1	6	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	1
AME1	YBR211C	YBR211C_mRNA	protein_coding	0	4	2	70	0	0	0	0	42	0	0	0	2	0	0	0	0	0	0	0	4	28
AMF1	YOR378W	YOR378W_mRNA	protein_coding	0	2	2	5	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	2	3
AMN1	YBR158W	YBR158W_mRNA	protein_coding	0	2	2	68	0	0	0	0	34	0	0	0	2	0	0	0	0	0	0	0	2	34
AMS1	YGL156W	YGL156W_mRNA	protein_coding	0	16	5	84	0	0	0	0	43	0	0	0	5	0	0	0	0	0	0	0	16	41
ANB1	YJR047C	YJR047C_mRNA	protein_coding	0	1	0	40	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	1	12
ANP1	YEL036C	YEL036C_mRNA	protein_coding	0	6	2	49	0	0	1	0	48	0	0	0	1	0	0	0	0	0	0	0	6	1
ANR2	YKL047W	YKL047W_mRNA	protein_coding	0	0	1	33	0	0	0	0	33	0	0	0	1	0	0	0	0	0	0	0	0	0
ANS1	YHR126C	YHR126C_mRNA	protein_coding	0	0	0	8	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	5
ANT1	YPR128C	YPR128C_mRNA	protein_coding	0	0	0	8	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	3
ANY1	YMR010W	YMR010W_mRNA	protein_coding	0	3	1	33	0	0	0	0	14	0	0	0	1	0	0	0	0	0	0	0	3	19
AOS1	YPR180W	YPR180W_mRNA	protein_coding	0	2	0	8	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	5
APA1	YCL050C	YCL050C_mRNA	protein_coding	0	1	0	10	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	4
APA2	YDR530C	YDR530C_mRNA	protein_coding	0	3	0	97	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	3	46
APC1	YNL172W	YNL172W_mRNA	protein_coding	0	3	3	12	0	0	1	0	4	0	0	0	2	0	0	0	0	0	0	0	3	8
APC11	YDL008W	YDL008W_mRNA	protein_coding	0	1	1	59	0	0	0	0	41	0	0	0	1	0	0	0	0	0	0	0	1	18
APC2	YLR127C	YLR127C_mRNA	protein_coding	0	1	2	6	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	1	4
APC4	YDR118W	YDR118W_mRNA	protein_coding	0	0	1	15	0	0	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0	7
APC5	YOR249C	YOR249C_mRNA	protein_coding	0	1	2	27	0	0	0	0	14	0	0	0	2	0	0	0	0	0	0	0	1	13
APC9	YLR102C	YLR102C_mRNA	protein_coding	0	0	0	16	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	3
APD1	YBR151W	YBR151W_mRNA	protein_coding	0	3	0	95	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	3	51
